group,run_id,period,breach_rate,coverage_error,cvar,rmse,mae,pinball,brier,kupiec_LR,kupiec_p,christoffersen_ind_LR,christoffersen_ind_p,christoffersen_cc_LR,christoffersen_cc_p,cfg_seq_length,cfg_z_window,cfg_use_cls_token,cfg_zscore,cfg_layers,cfg_head_size,cfg_num_heads,cfg_ff_dim,cfg_dropout,cfg_attn_dropout,cfg_calibration,cfg_refit,cfg_timeframe,cfg_use_returns,cfg_use_spx_close,cfg_data_start_year,cfg_end_date
base,run_20250905_120706_5620a31e,2015,0.0396825396825396,-0.0103174603174603,-0.0237309727817773,0.0204946007579565,0.0183878988027572,0.0011326920939609,0.0382142857142857,0.6059011686140965,0.4363352797551718,3.8283652570132505,0.0503920586108881,4.412826981113577,0.1100947973140364,30,126,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_5620a31e,2020,0.1818181818181818,0.1318181818181818,-0.0257924068719148,0.0273199826478958,0.0206142887473106,0.0038879483472555,0.1661363636363636,56.92830063614738,4.5199421491258834e-14,0.4421776637988147,0.5060732582318669,57.670114030983605,2.999810720259437e-13,30,126,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_5620a31e,2022,0.099601593625498,0.049601593625498,-0.027799118310213,0.0245066825300455,0.0207575727254152,0.0018302976386621,0.0921414342629482,10.21941821120014,0.0013896968134045,0.1175515788311378,0.7317053219928842,10.44466103520434,0.0053947419237768,30,126,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_7106bab1,1987,0.2885375494071146,0.2385375494071146,-0.0014717282028868,0.4431916773319244,0.3521953821182251,0.0984535664319992,0.2621837944664031,151.8189613504165,6.940543929999882e-35,234.01236459401656,7.949593073846224e-53,386.4112127165404,1.23558118339767e-84,30,63,False,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_7106bab1,1998,0.0515873015873015,0.0015873015873015,0.0030026228632777,0.8037242889404297,0.6967536211013794,0.0405281223356723,0.0489285714285714,0.0132348411576282,0.9084112138392187,68.02581293904335,1.6136915662019162e-16,68.0426086973876,1.6777809315536957e-15,30,63,False,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_7106bab1,2001,0.0564516129032258,0.0064516129032258,-0.0097334394231438,0.0802131816744804,0.0665115267038345,0.0040426356717944,0.0533064516129032,0.2089945516857931,0.6475566079213508,1.5188110954438383,0.2177994986343216,1.7416762361771347,0.418600565479449,30,63,False,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_7106bab1,2008,0.0395256916996047,-0.0104743083003952,-0.0693506747484207,0.0620185397565364,0.0565942414104938,0.0036005652509629,0.0380731225296442,0.6276685706916291,0.4282117892526553,3.8421375097218737,0.0499797661860083,4.44803867833597,0.1081734481004761,30,63,False,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_7106bab1,2011,0.0,-0.05,,0.0693642348051071,0.0676303729414939,0.0033815186470746,0.0025,25.851820320925487,3.686568671972143e-07,-0.0,1.0,25.74923378255039,2.562270211004052e-06,30,63,False,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_7106bab1,2015,0.0396825396825396,-0.0103174603174603,-0.0225845966488122,0.0215051751583814,0.0191763006150722,0.001236412092112,0.0382142857142857,0.6059011686140965,0.4363352797551718,3.8283652570132505,0.0503920586108881,4.412826981113577,0.1100947973140364,30,63,False,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_7106bab1,2020,0.1027667984189723,0.0527667984189723,-0.0400491803884506,0.0285971835255622,0.0223422776907682,0.0031553290318697,0.094990118577075,11.518480494304155,0.000689076923688,0.045349897832832,0.8313619418239463,11.678576728246174,0.0029109133993163,30,63,False,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_7106bab1,2022,0.1075697211155378,0.0575697211155378,-0.0262935496866703,0.0245029255747795,0.0202460289001464,0.0018713606987148,0.099312749003984,13.364185208674275,0.0002564753147403,2.0071663372313444,0.1565575012069779,15.496860310317942,0.0004314192705723,30,63,False,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_d00f0d9d,1987,0.0,-0.05,,0.4984689950942993,0.4822548925876617,0.0241127461194992,0.0025,25.95440690950059,3.4957650949621474e-07,-0.0,1.0,25.85182037132549,2.434156700453849e-06,30,126,False,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_d00f0d9d,1998,0.4206349206349206,0.3706349206349206,0.0008313159341923,1.2647013664245603,1.0262751579284668,0.3263299167156219,0.3810714285714285,307.10284533944593,9.340276926373955e-69,175.47420881401334,4.716854122299158e-40,483.5690039894183,9.870177752545516e-106,30,126,False,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_d00f0d9d,2001,0.0,-0.05,,0.1686050742864608,0.1621608734130859,0.0081080431118607,0.0025,25.44147396662508,4.560084953475983e-07,-0.0,1.0,25.338887427449983,3.145795641229335e-06,30,126,False,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
